ID;Name
7;К. Ввод №1 яч.19
8;К. Ввод №2 яч.16
9;К. Ввод №3 яч.45
10;К. Ввод №4 яч.34
11;Т. Жил. пос. №1 яч.6
12;Т. Жил. пос.№2 яч.44
13;Т. ВЧ яч.64
14;Т. РРЛ 15/34 яч.46
15;Т. РРЛ 15/35 яч.4
16;Т. СД - 1 яч.32
17;Т. СД - 2 яч.30
18;Т. СД - 3 яч.39
19;Т. СД - 4 яч.41
20;Т. СД - 5 яч.43
21;Т. СД-6 яч.21
22;Т. СД-7 яч.23
23;Т. СД-8 яч.25
24;Т. СД - 9 яч.14
25;Т. СД - 10 яч.12
26;Т. ТСН №1 яч.8
27;Т. ТСН №2 яч.42
28;К. Ввод №1 яч.45
29;К. Ввод №2 яч.32
30;К. Ввод №3 яч.17
31;К. Ввод №4 яч.14
32;Т. ХПП яч.44
33;Т.Екатериновка яч.48
34;К. Кваркено яч.64
35;Т. ТСН №1 яч.42
36;Т. ТСН №2 яч.8
37;Т. СД №1 яч.36
38;Т. СД №2 яч.30
39;Т. СД №3 яч.39
40;Т. СД №4 яч.41
41;Т. СД №5 яч.43
42;Т. СД №6 яч.21
43;Т. СД №7 яч.23
44;Т. СД №8 яч.25
45;Т. СД №9 яч.18
46;Т. СД №10 яч.12
47;Т. РРЛ 36,37 яч.2
48;Т. РРЛ 37,38
49;Т. Жилпоселок яч.6
50;Ввод №1 (яч 45)
51;Ввод №2 (яч 28)
52;Ввод №3 (яч 17)
53;Ввод №4 (яч 10)
54;С/х Рассвет (яч44)
55;РРС-17/69(яч50)
56;АГНКС (яч 48)
57;ТСН №1 (яч 38)
58;ТСН №2 (яч 4)
59;СД №1 (яч 32)
60;СД №2 (яч 26)
61;СД №3 (яч 39)
62;СД №4 (яч 41)
63;СД №5 (яч 43)
64;СД №6 (яч 21)
65;СД №7 (яч 23)
66;СД №8 (яч 25)
67;СД №9 (яч 14)
68;СД №10 (яч 8)
69;АГНКС (яч 46)
70;РРС-17/41(яч40)
71;Насосная (яч 2)
72;Ввод №1 (яч1-5)
73;Ввод №2 (яч2-3)
74;Ввод №3 (яч3-1)
75;Ввод №4 (яч4-3)
76;Ввод 1 РРС-44
77;Ввод 2 РРС-44
78;КТП ПЭБ АСУ №1Т
79;КТП ПЭБ АСУ №2Т
80;ТСН-1 (яч3-6)
82;СД №1 (яч1-8)
83;СД №2 (яч3-4)
84;СД №3 (яч1-3)
85;СД №4 (яч3-5)
86;СД №5 (яч2-7)
87;СД №6 (яч4-6)
88;СД №7 (яч2-6)
89;СД №8 (яч4-7)
90;КТП АВО газа Т1
91;КТП АВО газа Т2
94;ТСН-2 (яч4-5)
95;КТП ПЭБ №1Т
96;КТП ПЭБ №2Т
98;План для диспетчеров
99;План для диспетчеров
100;План для диспетчеров
101;План для диспетчеров
102;без субабонентов и потерь Газпромэнерго и плановых потерь на Ростелеком
103;без субабонентов и потерь Газпромэнерго и плановых потерь на Ростелеком
104;без субабонентов и потерь Газпромэнерго и плановых потерь на Ростелеком
105;без субабонентов и потерь Газпромэнерго и плановых потерь на Ростелеком
106;К. ГПП1 ЗРУ1 6 яч.21
107;К. ГПП1 ЗРУ1 6 яч.42
108;К. ГПП1 ЗРУ2 6 яч.56 ГПА 1
109;К. ГПП1 ЗРУ2 6 яч.58 ГПА 2
110;К. ГПП1 ЗРУ2 6 яч.60 ГПА 3
111;К. ГПП1 ЗРУ2 6 яч.61 ГПА 4
112;К. ГПП1 ЗРУ2 6 яч.66 ГПА 5
113;К. ГПП1 ЗРУ2 6 яч54А ГПА 11
114;К. ГПП1 ЗРУ3 6 яч.74 ГПА 6
115;К. ГПП1 ЗРУ3 6 яч.75 ГПА 7
116;К. ГПП1 ЗРУ3 6 яч.76 ГПА 8
117;К. ГПП1 ЗРУ3 6 яч.77 ГПА 9
118;К. ГПП1 ЗРУ3 6 яч.78 ГПА 10
119;К. ГПП1 ЗРУ3 6 яч.79 ГПА 12
120;К. КТП ПНС-1
121;План для диспетчеров
122;без субабонентов и потерь Газпромэнерго и плановых потерь на Ростелеком
123;Завод изоляции яч.50
